tavg,tmin,tmax,prcp,snow,wdir,wspd,pres
-4.3,-8.3,0.0,0.0,0.0,240.0,25.5,1019.8
-1.5,-6.7,2.2,0.0,0.0,240.0,7.8,1025.3
1.6,-0.6,2.8,15.0,0.0,240.0,8.5,1013.7
-3.7,-15.0,2.2,4.6,51.0,305.0,20.2,1017.8
-15.6,-18.3,-12.2,3.8,102.0,258.0,17.5,1036.8
-12.4,-15.0,-11.1,0.3,76.0,258.0,18.9,1028.9
-16.2,-20.0,-13.3,0.0,76.0,303.0,26.5,1039.1
-15.3,-21.7,-6.7,2.5,102.0,222.0,27.1,1024.8
-13.7,-16.1,-8.9,0.0,76.0,277.0,26.6,1026.7
-11.1,-17.8,-3.3,0.0,76.0,217.0,20.5,1030.7
-1.7,-3.9,1.1,2.5,102.0,203.0,16.6,1026.0
-4.6,-7.2,-1.1,1.3,127.0,346.0,19.3,1032.6
-7.5,-10.6,-5.0,0.0,102.0,346.0,13.7,1039.1
-10.1,-15.0,-6.1,0.0,102.0,213.0,11.4,1029.1
-3.1,-8.3,2.2,0.0,76.0,227.0,17.5,1019.2
-1.4,-5.6,1.7,0.0,76.0,227.0,10.5,1020.9
3.7,-1.1,6.7,0.0,25.0,207.0,24.5,1007.6
3.0,-0.6,6.1,0.0,0.0,263.0,17.7,1010.7
1.3,-2.8,6.1,0.0,0.0,263.0,8.1,1016.0
2.4,0.6,4.4,0.3,0.0,263.0,10.5,1013.5
1.0,-0.6,2.2,0.0,0.0,357.0,11.9,1019.2
0.1,-1.1,1.1,0.0,0.0,273.0,9.6,1030.1
-0.3,-1.1,1.1,0.0,0.0,231.0,19.3,1021.2
2.3,0.0,7.2,0.0,0.0,265.0,14.3,1006.8
0.1,-3.3,3.3,3.3,0.0,41.0,24.8,1010.3
-3.4,-6.1,-1.7,1.3,25.0,148.0,9.8,1015.0
-1.5,-4.4,0.6,0.0,0.0,148.0,10.7,1021.4
-1.0,-4.4,2.2,0.3,0.0,166.0,16.3,1022.3
2.4,-0.6,3.9,0.0,0.0,301.0,24.0,1014.9
-2.5,-5.0,0.0,0.0,0.0,301.0,13.1,1032.1
0.2,-5.0,3.9,4.3,25.0,301.0,11.9,1024.7
-1.7,-6.1,0.6,34.0,406.0,53.0,27.3,1013.3
-9.4,-12.8,-5.6,0.8,432.0,293.0,21.6,1021.9
-6.6,-13.3,-1.1,1.8,432.0,199.0,10.8,1021.6
-5.4,-11.1,-1.1,1.5,406.0,325.0,14.6,1022.3
