date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-10-17,11,3.3,18.3,0,0,198,11.8,,1026.7,
2024-10-18,13.9,7.2,20.6,0,0,185,11.5,,1030,
2024-10-19,15,6.7,22.2,0,0,205,9.8,,1030.6,
2024-10-20,18,9.4,26.1,0,0,213,13.3,,1025.9,
2024-10-21,19.9,11.7,27.8,0,0,207,11.6,,1022.3,
2024-10-22,18.8,12.8,23.9,0,0,190,16.5,,1015.6,
2024-10-23,15.2,7.8,18.3,0,0,306,16.2,,1017.9,
2024-10-24,12.5,5.6,18.3,0,0,200,11.1,,1020.1,
2024-10-25,13.7,8.9,20,12.3,0,300,12.7,,1019.6,
2024-10-26,10.1,7.2,15,0,0,353,11.3,,1030.8,
2024-10-27,10,4.4,15,0,0,200,6.2,,1027.4,
2024-10-28,14.3,7.2,20,0,0,168,15.1,,1019.2,
2024-10-29,23.5,20,28.3,0,0,200,29.6,,1012.4,
2024-10-30,23.3,20.6,27.2,0,0,202,30.1,,1014.4,
2024-10-31,15.7,6.7,22.2,11.4,0,232,32.2,,1010.6,
2024-11-01,7.8,3.9,12.2,0,0,311,10.8,,1025.2,
2024-11-02,9.6,5,15,0,0,146,11.7,,1028.2,
2024-11-03,14.3,10,18.3,0.8,0,143,18.6,,1018.1,
2024-11-04,19,17.8,20.6,11.3,0,192,20.4,,1010.9,
2024-11-05,18.2,16.1,20,30.8,0,198,23.9,,1006.4,
2024-11-06,11.9,10.6,16.1,0,0,312,13.7,,1018.2,
2024-11-07,10.9,7.2,15.6,0,0,307,9.6,,1026,
2024-11-08,11.7,6.1,17.8,0,0,322,12.9,,1024.9,
2024-11-09,11.2,8.9,13.3,5.5,0,120,15.2,,1022.1,
2024-11-10,12.9,10,17.8,1.2,0,223,19.7,,1010.4,
2024-11-11,11.2,7.2,15,0,0,303,21.6,,1014.8,
2024-11-12,8.4,5.6,10,0,0,84,18.5,,1025.8,
2024-11-13,8.4,3.9,11.7,11,0,131,16.5,,1018,
2024-11-14,11,9.4,12.8,3.7,0,302,12.7,,1010.4,
2024-11-15,10.1,7,12,0,,288,8.5,,1019.9,
2024-11-16,9.7,7.2,11.1,0,,166,12.6,,1018.8,
2024-11-17,11.5,8,15.6,5.8,,223,13.4,,1013.5,
